,Most Common KW,KW Freq,Source
0,music,1204,musow
0,music,570,mji
1,collection,558,musow
1,archive,506,mji
2,archive,390,musow
3,library,334,musow
2,collection,290,mji
4,score,242,musow
5,digital,220,musow
6,online,212,musow
7,manuscript,206,musow
3,history,198,mji
9,recording,194,musow
8,work,194,musow
10,century,194,musow
4,magazine,186,mji
11,song,186,musow
13,database,180,musow
12,project,180,musow
14,musical,176,musow
15,sheet,156,musow
16,audio,152,musow
17,history,150,musow
5,recording,140,mji
18,university,138,musow
19,early,136,musow
6,interview,134,mji
20,data,134,musow
21,file,130,musow
22,sound,124,musow
23,material,116,musow
24,edition,114,musow
25,composer,114,musow
27,dataset,112,musow
26,information,112,musow
7,oral,110,mji
8,sound,110,mji
9,library,100,mji
10,project,96,mji
29,jazz,94,musow
28,digitized,94,musow
11,culture,94,mji
12,issue,94,mji
30,american,92,musow
13,american,92,mji
32,public,88,musow
31,site,88,musow
14,jazz,88,mji
15,audio,86,mji
33,format,84,musow
34,midi,74,musow
16,radio,74,mji
19,record,72,mji
18,research,72,mji
17,digital,72,mji
20,feature,62,mji
21,year,62,mji
22,world,58,mji
23,black,58,mji
24,art,58,mji
25,video,56,mji
26,material,56,mji
27,punk,56,mji
28,public,54,mji
29,rock,54,mji
30,country,52,mji
31,university,50,mji
32,african,50,mji
33,musician,50,mji
34,hip,50,mji
